date,obs,med
2017-11-16,0.137151312,1.5762751
2017-11-17,0.137151312,3.1633599
2017-11-18,0.137151312,0.22470984
2017-11-19,0.137151312,0.0
2017-11-20,0.137151312,0.0
2017-11-21,0.137151312,4.8238697
2017-11-22,0.137151312,2.044868
2017-11-23,0.137151312,2.474139
2017-11-24,0.137151312,1.5846723
2017-11-25,0.0,2.2164183
2017-11-26,0.0,1.9160058
2017-11-27,0.0,1.5445509
2017-11-28,0.0,2.481503
2017-11-29,0.0,1.5001944
2017-11-30,0.0,3.2250223
2017-12-01,0.0,3.0930724
2017-12-02,0.0,2.5350604
2017-12-03,0.0,6.219241
2017-12-04,0.0,4.848266
2017-12-05,0.0,2.990103
2017-12-06,0.0,1.8997068
2017-12-07,0.0,0.7633747
2017-12-08,0.0,1.5398184
2017-12-09,0.0,3.6062138
2017-12-10,0.0,2.946487
2017-12-11,0.0,2.3175516
2017-12-12,0.0,2.1636462
2017-12-13,0.0,2.7016373
2017-12-14,0.0,0.7467797
2017-12-15,0.0,0.0
2017-12-16,0.0,0.8537576
2017-12-17,0.0,4.5296907
2017-12-18,0.0,1.9103111
2017-12-19,0.0,2.904387
2017-12-20,0.0,2.8989773
2017-12-21,0.0,0.90094495
2017-12-22,0.0,0.48688826
2017-12-23,0.0,1.15725
2017-12-24,0.0,2.508667
2017-12-25,0.0,4.932186
2017-12-26,0.0,6.3144655
2017-12-27,0.0,0.5684632
2017-12-28,0.0,0.84368503
2017-12-29,0.0,0.70865464
2017-12-30,0.0,1.8248711
2017-12-31,0.0,3.5092256
2018-01-01,0.0,2.5755787
2018-01-02,0.0,1.6081917
2018-01-03,0.0,1.0283391
2018-01-04,0.0,3.7672653
2018-01-05,0.0,2.6135335
2018-01-06,0.0,4.7531805
2018-01-07,0.0,7.3350086
2018-01-08,0.0,4.758526
2018-01-09,0.0,3.2640214
2018-01-10,0.0,4.8303814
2018-01-11,0.0,8.098966
2018-01-12,0.0,6.5655365
2018-01-13,0.0,0.46661142
2018-01-14,0.0,0.0
2018-01-15,0.0,0.0
2018-01-16,0.0,0.0
2018-01-17,0.0,0.0
2018-01-18,0.0,0.0
2018-01-19,0.0,0.26711705
2018-01-20,0.0,0.0
2018-01-21,0.0,0.0
2018-01-22,0.0,0.0
2018-01-23,0.0,0.0
2018-01-24,0.0,0.0
2018-01-25,0.0,0.0
2018-01-26,0.0,0.0
